fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
燃氣,大潭電廠,潭複GT9-1,366395,366.395,2751.28,2711.02,40.27,1,6008.72,0.006657,40.27,0.02483444,0.00016642
燃氣,大潭電廠,潭複GT9-2,366395,366.395,2538.88,2303.37,235.52,3,6221.12,0.036477,78.51,0.01273795,0.00048223
燃氣,大潭電廠,潭複ST1,282200,282.2,6788.87,1243.08,5545.78,9,1971.13,0.5,616.2,0.00162285,0.00162285
燃氣,大潭電廠,潭複ST2,282200,282.2,464.0,464.0,0.0,0,8296.0,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複ST3,256900,256.9,500.37,500.37,0.0,0,8259.63,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複ST4,128450,128.45,378.47,378.47,0.0,0,8381.53,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複ST5,256900,256.9,1949.6,1949.6,0.0,0,6810.4,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複ST6,256900,256.9,434.33,434.33,0.0,0,8325.67,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複ST7,313142,313.142,668.37,668.37,0.0,0,8091.63,0.001,72.0,0.01388889,1.39e-05
燃氣,大潭電廠,潭複ST8,390839,390.839,1365.98,1333.33,32.65,5,7394.02,0.004396,6.53,0.15313936,0.00067622
燃氣,大潭電廠,潭複ST9,390839,390.839,2604.65,2563.13,41.52,2,6155.35,0.0067,20.76,0.04817342,0.00032492
燃氣,興達電廠,興新複GT1-1,425648,425.648,449.37,446.92,2.45,1,8310.63,0.001,2.45,0.40816327,0.00040857
燃氣,興達電廠,興新複GT1-2,425650,425.65,476.78,469.38,7.4,1,8283.22,0.001,7.4,0.13513514,0.00013527
燃氣,興達電廠,興新複ST1,448703,448.703,136.3,132.35,3.95,1,8623.7,0.001,3.95,0.25316456,0.00025342
燃氣,興達電廠,興複GT1-1,90830,90.83,1832.1,1832.1,0.0,0,6927.9,0.001,72.0,0.01388889,1.39e-05
燃氣,興達電廠,興複GT1-2,90830,90.83,1844.53,1844.53,0.0,0,6915.47,0.001,72.0,0.01388889,1.39e-05
燃氣,興達電廠,興複GT1-3,90830,90.83,1775.0,1775.0,0.0,0,6985.0,0.001,72.0,0.01388889,1.39e-05
燃氣,興達電廠,興複GT2-1,90830,90.83,2373.93,2373.93,0.0,0,6386.07,0.001,72.0,0.01388889,1.39e-05
燃氣,興達電廠,興複GT2-2,90830,90.83,2518.8,2518.8,0.0,0,6241.2,0.001,72.0,0.01388889,1.39e-05
燃氣,興達電廠,興複GT2-3,90830,90.83,2494.93,2494.93,0.0,0,6265.07,0.001,72.0,0.01388889,1.39e-05
